,index,point,time,gametime,ash_points,ben_points,server,game_num,point_type
250,23,0,1591161384.8259618,1591161133,13,11,1,6,0
251,24,1,1591161400.7943032,1591161133,14,11,0,6,0
252,25,0,1591161421.5196886,1591161133,14,12,0,6,0
253,26,0,1591161431.9698246,1591161133,14,13,1,6,0
254,27,1,1591161456.6498623,1591161133,15,13,1,6,0
255,28,1,1591161457.6201084,1591161133,16,13,0,6,0
256,29,0,1591161459.6376653,1591161133,16,14,0,6,0
257,30,1,1591161470.4844368,1591161133,17,14,1,6,0
258,31,1,1591161483.6501918,1591161133,18,14,1,6,0
259,32,1,1591161511.6171298,1591161133,19,14,0,6,0
260,33,1,1591161512.385915,1591161133,20,14,0,6,0
261,34,1,1591161527.0940337,1591161133,21,14,1,6,0
262,0,1,1591230257.5876193,1591230245,1,0,1,7,2
263,1,1,1591230262.4130301,1591230245,2,0,1,7,0
264,2,0,1591230273.3432543,1591230245,2,1,0,7,0
265,3,0,1591230280.975713,1591230245,2,2,0,7,0
266,4,1,1591230293.1057258,1591230245,3,2,1,7,0
267,5,1,1591230297.7711759,1591230245,4,2,1,7,0
268,6,0,1591230313.289041,1591230245,4,3,0,7,0
269,7,0,1591230322.6210368,1591230245,4,4,0,7,0
270,8,1,1591230328.8295293,1591230245,5,4,1,7,0
271,9,1,1591230356.7692163,1591230245,6,4,1,7,0
272,10,0,1591230368.902381,1591230245,6,5,0,7,0
273,11,0,1591230377.6702034,1591230245,6,6,0,7,0
274,12,0,1591230392.454423,1591230245,6,7,1,7,0
275,13,1,1591230394.3947203,1591230245,7,7,1,7,0
276,14,1,1591230409.2375278,1591230245,8,7,0,7,0
277,15,1,1591230411.1683712,1591230245,9,7,0,7,0
278,16,1,1591230427.1780543,1591230245,10,7,1,7,0
279,17,1,1591230438.588168,1591230245,11,7,1,7,0
280,18,1,1591230450.1413631,1591230245,12,7,0,7,0
281,19,1,1591230461.300828,1591230245,13,7,0,7,0
282,20,1,1591230480.4186375,1591230245,14,7,1,7,0
283,21,1,1591230489.108284,1591230245,15,7,1,7,0
284,22,0,1591230505.41234,1591230245,15,8,0,7,0
285,23,1,1591230515.0497177,1591230245,16,8,0,7,0
286,24,1,1591230523.4020457,1591230245,17,8,1,7,0
287,25,0,1591230534.8795192,1591230245,17,9,1,7,0
288,26,1,1591230543.3947392,1591230245,18,9,0,7,0
289,27,1,1591230554.8103945,1591230245,19,9,0,7,0
290,28,1,1591230565.1667786,1591230245,20,9,1,7,0
291,29,1,1591230571.4378972,1591230245,21,9,1,7,0
292,0,0,1591230600.4730387,1591230590,0,1,1,8,1
293,1,0,1591230613.1608202,1591230590,0,2,1,8,0
294,2,0,1591230629.9882216,1591230590,0,3,0,8,0
295,3,1,1591230632.237756,1591230590,1,3,0,8,0
296,4,1,1591230659.7852197,1591230590,2,3,1,8,0
297,5,0,1591230663.3248453,1591230590,2,4,1,8,0
298,6,0,1591230673.4611216,1591230590,2,5,0,8,0
299,7,0,1591230682.5447776,1591230590,2,6,0,8,0
300,8,0,1591230694.667361,1591230590,2,7,1,8,0
301,9,1,1591230722.07538,1591230590,3,7,1,8,0
302,10,0,1591230723.9222054,1591230590,3,8,0,8,0
303,11,1,1591230740.2375007,1591230590,4,8,0,8,0
304,12,0,1591230742.33026,1591230590,4,9,1,8,0
305,13,1,1591230761.542769,1591230590,5,9,1,8,0
306,14,1,1591230800.1271498,1591230590,6,9,0,8,0
307,15,1,1591230802.3037057,1591230590,7,9,0,8,0
308,16,0,1591230805.4407766,1591230590,7,10,1,8,0
309,17,1,1591230823.5463953,1591230590,8,10,1,8,0
310,18,1,1591230850.177057,1591230590,9,10,0,8,0
311,19,1,1591230852.052215,1591230590,10,10,0,8,0
312,20,1,1591230868.9993727,1591230590,11,10,1,8,0
313,21,0,1591230872.5314794,1591230590,11,11,1,8,0
314,22,0,1591230883.9148862,1591230590,11,12,0,8,0
315,23,1,1591230903.8326483,1591230590,12,12,0,8,0
316,24,0,1591230905.712715,1591230590,12,13,1,8,0
317,25,0,1591230915.2976003,1591230590,12,14,1,8,0
318,26,1,1591230927.9131284,1591230590,13,14,0,8,0
319,27,0,1591230941.4650314,1591230590,13,15,0,8,0
320,28,0,1591230953.9136262,1591230590,13,16,1,8,0
321,29,0,1591230967.069022,1591230590,13,17,1,8,0
322,30,1,1591230995.3064,1591230590,14,17,0,8,0
323,31,1,1591230997.4873972,1591230590,15,17,0,8,0
324,32,0,1591231000.373394,1591230590,15,18,1,8,0
325,33,0,1591231014.1097705,1591230590,15,19,1,8,0
326,34,1,1591231030.7422712,1591230590,16,19,0,8,0
327,35,0,1591231033.399688,1591230590,16,20,0,8,0
328,36,0,1591231040.7947273,1591230590,16,21,1,8,0
329,0,0,1591316952.2959569,1591316944,0,1,0,9,2
330,1,0,1591316964.2056487,1591316944,0,2,0,9,0
331,2,0,1591316975.1487865,1591316944,0,3,1,9,0
332,3,1,1591316981.0235343,1591316944,1,3,1,9,0
333,4,0,1591316992.0593414,1591316944,1,4,0,9,0
334,5,1,1591316998.81376,1591316944,2,4,0,9,0
335,6,0,1591317009.1157055,1591316944,2,5,1,9,0
336,7,0,1591317015.7920775,1591316944,2,6,1,9,0
337,8,0,1591317022.0717547,1591316944,2,7,0,9,0
338,9,0,1591317030.3542225,1591316944,2,8,0,9,0
339,10,1,1591317043.2168584,1591316944,3,8,1,9,0
340,11,0,1591317053.4403198,1591316944,3,9,1,9,0
341,12,1,1591317061.0072155,1591316944,4,9,0,9,0
342,13,0,1591317073.6270497,1591316944,4,10,0,9,0
343,14,0,1591317092.9278574,1591316944,4,11,1,9,0
344,15,0,1591317104.9014332,1591316944,4,12,1,9,0
345,16,0,1591317114.2926025,1591316944,4,13,0,9,0
346,17,0,1591317131.323023,1591316944,4,14,0,9,0
347,18,1,1591317139.1939049,1591316944,5,14,1,9,0
348,19,1,1591317147.7098045,1591316944,6,14,1,9,0
349,20,0,1591317165.23136,1591316944,6,15,0,9,0
350,21,0,1591317182.996788,1591316944,6,16,0,9,0
351,22,1,1591317201.2373173,1591316944,7,16,1,9,0
352,23,1,1591317211.8480253,1591316944,8,16,1,9,0
353,24,0,1591317223.5147703,1591316944,8,17,0,9,0
354,25,1,1591317232.0399158,1591316944,9,17,0,9,0
355,26,1,1591317239.4427001,1591316944,10,17,1,9,0
356,27,0,1591317256.7176929,1591316944,10,18,1,9,0
357,28,1,1591317266.208328,1591316944,11,18,0,9,0
358,29,0,1591317280.253449,1591316944,11,19,0,9,0
359,30,1,1591317289.0013373,1591316944,12,19,1,9,0
360,31,0,1591317301.523774,1591316944,12,20,1,9,0
361,32,0,1591317313.900979,1591316944,12,21,0,9,0
362,0,0,1591317344.7644193,1591317335,0,1,0,10,1
363,1,0,1591317365.5749016,1591317335,0,2,0,10,0
364,2,0,1591317389.6099963,1591317335,0,3,1,10,0
365,3,0,1591317394.1254168,1591317335,0,4,1,10,0
366,4,0,1591317419.5432727,1591317335,0,5,0,10,0
367,5,1,1591317420.8329039,1591317335,1,5,0,10,0
368,6,0,1591317432.3953876,1591317335,1,6,1,10,0
369,7,1,1591317443.4830887,1591317335,2,6,1,10,0
370,8,1,1591317466.0508158,1591317335,3,6,0,10,0
371,9,1,1591317469.8613088,1591317335,4,6,0,10,0
372,10,1,1591317471.3962393,1591317335,5,6,1,10,0
373,11,1,1591317481.4472597,1591317335,6,6,1,10,0
374,12,1,1591317496.5690823,1591317335,7,6,0,10,0
375,13,1,1591317497.8622973,1591317335,8,6,0,10,0
376,14,0,1591317507.12911,1591317335,8,7,1,10,0
377,15,0,1591317514.8392656,1591317335,8,8,1,10,0
378,16,0,1591317525.5400896,1591317335,8,9,0,10,0
379,17,0,1591317550.8555336,1591317335,8,10,0,10,0
380,18,0,1591317573.3752353,1591317335,8,11,1,10,0
381,19,1,1591317574.4304235,1591317335,9,11,1,10,0
382,20,1,1591317602.605082,1591317335,10,11,0,10,0
383,21,1,1591317603.675504,1591317335,11,11,0,10,0
384,22,0,1591317611.2160213,1591317335,11,12,1,10,0
385,23,1,1591317620.2131886,1591317335,12,12,1,10,0
386,24,1,1591317643.5791585,1591317335,13,12,0,10,0
387,25,1,1591317644.7866051,1591317335,14,12,0,10,0
388,26,1,1591317651.127184,1591317335,15,12,1,10,0
389,27,0,1591317663.899291,1591317335,15,13,1,10,0
390,28,0,1591317685.8118434,1591317335,15,14,0,10,0
391,29,1,1591317686.8577917,1591317335,16,14,0,10,0
392,30,0,1591317708.037399,1591317335,16,15,1,10,0
393,31,1,1591317709.3297606,1591317335,17,15,1,10,0
394,32,0,1591317718.6398368,1591317335,17,16,0,10,0
395,33,1,1591317733.4904923,1591317335,18,16,0,10,0
396,34,0,1591317751.4809642,1591317335,18,17,1,10,0
397,35,0,1591317752.5330462,1591317335,18,18,1,10,0
398,36,0,1591317759.9228325,1591317335,18,19,0,10,0
399,37,0,1591317774.1983354,1591317335,18,20,0,10,0
400,38,1,1591317783.433637,1591317335,19,20,1,10,0
401,39,0,1591317790.988283,1591317335,19,21,1,10,0
402,0,0,1591317823.539481,1591317810,0,1,0,11,1
403,1,0,1591317825.0036798,1591317810,0,2,0,11,0
404,2,0,1591317838.9206598,1591317810,0,3,1,11,0
405,3,0,1591317840.2963393,1591317810,0,4,1,11,0
406,4,1,1591317850.7528923,1591317810,1,4,0,11,0
407,5,1,1591317858.3926606,1591317810,2,4,0,11,0
408,6,0,1591317875.926874,1591317810,2,5,1,11,0
409,7,0,1591317879.0699232,1591317810,2,6,1,11,0
410,8,0,1591317888.8775697,1591317810,2,7,0,11,0
411,9,1,1591317931.9086545,1591317810,3,7,0,11,0
412,10,1,1591317932.961041,1591317810,4,7,1,11,0
413,11,1,1591317934.0081706,1591317810,5,7,1,11,0
414,12,1,1591317935.220562,1591317810,6,7,0,11,0
415,13,1,1591317967.5540495,1591317810,7,7,0,11,0
416,14,1,1591317968.6149728,1591317810,8,7,1,11,0
417,15,0,1591317969.9888453,1591317810,8,8,1,11,0
418,16,0,1591318006.2692025,1591317810,8,9,0,11,0
419,17,0,1591318007.4047723,1591317810,8,10,0,11,0
420,18,0,1591318009.1798704,1591317810,8,11,1,11,0
421,19,0,1591318017.536206,1591317810,8,12,1,11,0
422,20,1,1591318042.439758,1591317810,9,12,0,11,0
423,21,1,1591318043.4954758,1591317810,10,12,0,11,0
424,22,0,1591318050.6425443,1591317810,10,13,1,11,0
425,23,0,1591318059.3133774,1591317810,10,14,1,11,0
426,24,1,1591318084.610895,1591317810,11,14,0,11,0
427,25,1,1591318085.7389853,1591317810,12,14,0,11,0
428,26,0,1591318095.5290115,1591317810,12,15,1,11,0
429,27,0,1591318102.1184006,1591317810,12,16,1,11,0
430,28,0,1591318129.396394,1591317810,12,17,0,11,0
431,29,0,1591318135.2609382,1591317810,12,18,0,11,0
432,30,1,1591318149.8768315,1591317810,13,18,1,11,0
433,31,0,1591318160.238618,1591317810,13,19,1,11,0
434,32,0,1591318173.7230418,1591317810,13,20,0,11,0
435,33,0,1591318174.9371638,1591317810,13,21,0,11,0
436,0,0,1591318227.4729989,1591318212,0,1,0,12,1
437,1,1,1591318240.0303168,1591318212,1,1,0,12,0
438,2,1,1591318247.023203,1591318212,2,1,1,12,0
439,3,0,1591318252.493558,1591318212,2,2,1,12,0
440,4,0,1591318260.9463463,1591318212,2,3,0,12,0
441,5,1,1591318269.4735715,1591318212,3,3,0,12,0
442,6,1,1591318282.1090627,1591318212,4,3,1,12,0
443,7,1,1591318286.788959,1591318212,5,3,1,12,0
444,8,0,1591318305.2867773,1591318212,5,4,0,12,0
445,9,0,1591318306.3366914,1591318212,5,5,0,12,0
446,10,0,1591318314.7895548,1591318212,5,6,1,12,0
447,11,0,1591318321.6314745,1591318212,5,7,1,12,0
448,12,1,1591318334.741382,1591318212,6,7,0,12,0
449,13,0,1591318341.7429454,1591318212,6,8,0,12,0
450,14,0,1591318353.1804578,1591318212,6,9,1,12,0
451,15,0,1591318362.8426783,1591318212,6,10,1,12,0
